Date,Campaign,Channel,Reach,Engagement,Conversions,Marketing Spend,Revenue Generated,Customer Acquisition Cost,Lifetime Value,ROI,Year,Month
2023-07-01,Campaign D,Email,4523,6609,839,16531.99,10094.98,66.98,2357.02,-38.936691832017814,2023,7
2024-02-26,Campaign D,Social Media,18746,5209,1536,23196.37,51687.92,34.41,4735.69,122.82762346005,2024,2
2024-01-23,Campaign C,Organic Search,28012,1321,1039,42134.4,39716.25,26.66,7258.61,-5.739134768740035,2024,1
2023-08-10,Campaign C,Social Media,16737,3260,1703,31931.71,68141.44,371.58,4404.01,113.39740339618518,2023,8
2023-10-13,Campaign D,Organic Search,53891,1532,270,33593.14,81405.71,280.61,2766.5,142.32837418592013,2023,10
2023-12-11,Campaign C,PPC,44558,488,1127,21181.46,99775.1,27.44,4418.55,371.04921001668447,2023,12
2023-11-28,Campaign C,PPC,81186,6616,808,38906.2,64404.8,297.93,1353.85,65.53865450750781,2023,11
2023-06-14,Campaign A,Email,32481,3359,295,18781.61,87739.99,208.19,8544.57,367.1590454705427,2023,6
2023-12-08,Campaign B,Email,67053,1896,705,34164.23,63089.46,143.61,4260.88,84.66524783377231,2023,12
2023-10-04,Campaign A,Social Media,13679,8041,345,6253.66,47474.13,210.65,2626.28,659.1415267219517,2023,10
2024-05-17,Campaign C,PPC,92835,210,657,35143.0,15285.22,193.17,4703.56,-56.50564835102296,2024,5
2023-11-02,Campaign B,Email,19547,6898,809,26488.08,91130.08,335.81,507.42,244.04184825778236,2023,11
2023-06-01,Campaign B,Social Media,13192,2206,630,40403.81,11098.92,136.72,6911.38,-72.53001635241824,2023,6
2024-05-01,Campaign D,Social Media,54223,3581,1486,37024.38,8682.23,113.54,6179.93,-76.54996518510235,2024,5
2023-11-17,Campaign C,Email,99004,8930,1516,44733.3,76927.61,402.9,9785.19,71.96945005175115,2023,11
2024-01-09,Campaign B,Social Media,95593,5402,576,18440.72,75825.89,474.84,1327.54,311.18725299229095,2024,1
2023-06-17,Campaign B,Email,81809,2331,102,2013.69,33202.12,164.67,3243.68,1548.8198282754547,2023,6
2023-11-21,Campaign D,Organic Search,66686,7579,1242,31229.38,89548.11,386.69,1252.65,186.74315660445387,2023,11
2024-03-27,Campaign D,PPC,27463,7540,1378,17467.6,58287.65,368.81,298.08,233.69008907920957,2024,3
2023-07-01,Campaign A,Email,85639,527,942,46491.31,60255.15,250.78,7534.17,29.60518858255447,2023,7
2024-03-22,Campaign A,Organic Search,88240,4328,35,39880.47,86954.49,137.01,1417.59,118.03777638528332,2024,3
2023-11-01,Campaign A,Social Media,18203,254,1740,35878.37,5864.28,49.24,2625.26,-83.65511030740807,2023,11
2023-12-28,Campaign A,PPC,81697,7220,928,27512.46,21194.61,333.08,2136.22,-22.963595403682547,2023,12
2023-08-15,Campaign A,PPC,60663,7411,505,33353.48,59217.77,413.56,4614.8,77.54600119687657,2023,8
2023-07-27,Campaign C,Email,24993,4542,37,15321.17,96146.45,164.01,2009.6,527.5398680387985,2023,7
2024-01-08,Campaign B,Social Media,12478,8048,60,5926.43,31550.4,429.56,2160.38,432.3677154712027,2024,1
2023-06-19,Campaign B,Social Media,77765,1422,158,6929.95,47563.21,70.43,5460.92,586.342758605762,2023,6
2023-12-22,Campaign C,Email,1235,3358,82,17715.68,50601.8,46.32,6654.26,185.6328405119081,2023,12
2023-10-04,Campaign A,Email,99291,157,1306,48040.18,84016.71,118.46,4094.47,74.88841632150422,2023,10
2023-08-01,Campaign A,Social Media,9301,766,534,45417.57,11546.87,330.78,1204.25,-74.57620475952368,2023,8
2023-10-16,Campaign A,Email,98755,2031,1437,26682.59,94662.39,233.89,6538.64,254.7721191983237,2023,10
2024-04-18,Campaign A,PPC,92839,5552,1535,33521.11,82387.39,152.11,3898.42,145.7776308720087,2024,4
2024-05-24,Campaign D,Organic Search,93298,9219,130,46173.96,37184.62,343.81,7644.23,-19.468418996334723,2024,5
2023-09-14,Campaign A,PPC,54010,7693,381,32975.04,68458.98,337.11,3028.04,107.60848205187924,2023,9
2023-06-13,Campaign A,Organic Search,58452,6170,1293,40962.23,67776.74,36.9,3424.46,65.461548358085,2023,6
2023-12-10,Campaign D,Email,96560,8430,1267,38202.53,40099.08,45.51,3818.08,4.964461777793259,2023,12
2023-12-14,Campaign D,Email,60113,7028,960,30113.38,48947.27,192.26,7125.09,62.54326150036958,2023,12
2023-09-11,Campaign B,Email,32903,8359,1009,38414.61,19610.92,446.56,6123.01,-48.949319022111645,2023,9
2024-01-01,Campaign D,Organic Search,34901,1888,489,9911.55,60202.54,322.4,8167.43,507.3978338403177,2024,1
2023-09-28,Campaign A,Organic Search,1635,8144,820,22316.85,86140.74,56.16,7447.93,285.9896894050908,2023,9
2024-01-10,Campaign C,Social Media,42249,223,86,22832.43,77637.28,435.05,3629.55,240.03073698244117,2024,1
2023-12-28,Campaign C,Organic Search,95350,2814,1473,5370.6,50531.34,391.7,8597.02,840.8881689196736,2023,12
2024-02-04,Campaign D,Email,23700,6580,1546,1734.28,55460.91,93.89,6677.84,3097.9213275826282,2024,2
2023-08-01,Campaign B,PPC,73537,8604,937,34074.0,68314.23,198.47,3691.07,100.48784997358689,2023,8
2023-11-22,Campaign C,Organic Search,34256,6378,445,48725.13,16273.35,287.7,3578.32,-66.60173097537142,2023,11
2024-01-28,Campaign A,Email,50679,2255,402,15772.15,14909.41,319.17,5361.82,-5.470021525283489,2024,1
2023-06-21,Campaign A,Social Media,71804,7425,1893,38065.06,38553.76,208.34,7907.65,1.2838545374682304,2023,6
2024-01-05,Campaign C,Organic Search,33020,2156,1572,27418.09,20965.16,378.5,5991.33,-23.53530096370681,2024,1
2024-05-03,Campaign C,Email,22985,7332,871,32522.61,37630.41,73.69,3819.9,15.705381579153709,2024,5
2023-08-19,Campaign C,PPC,28277,1792,1005,42356.62,11492.7,347.51,2718.79,-72.86681515191722,2023,8
2023-07-09,Campaign C,Email,27167,6548,1006,29194.35,63227.79,281.18,2436.64,116.57543326020277,2023,7
2024-04-14,Campaign D,Organic Search,12927,2688,213,12371.54,51595.73,138.01,9087.47,317.0517979168317,2024,4
2023-06-01,Campaign B,Email,28027,4897,1773,1363.26,26253.17,391.38,9859.86,1825.7639775244634,2023,6
2024-03-24,Campaign C,PPC,35550,420,1664,45305.32,53731.23,167.1,6758.71,18.598058682733072,2024,3
2024-02-15,Campaign D,Social Media,35727,9111,660,47989.33,25821.91,246.39,8038.55,-46.19239318406821,2024,2
2023-11-21,Campaign A,Email,24324,8461,1138,48298.35,95140.11,445.73,5747.88,96.98418268947077,2023,11
2024-02-09,Campaign A,Social Media,65301,2542,1153,27641.97,36846.54,292.62,3047.12,33.29925472026776,2024,2
2024-04-08,Campaign D,PPC,62890,9471,657,16952.12,76677.8,369.08,1238.72,352.31982784454107,2024,4
2024-03-18,Campaign D,Organic Search,53411,5136,1520,17211.85,71309.76,246.52,3862.15,314.30619021197606,2024,3
2024-05-09,Campaign A,PPC,78983,4817,1561,34545.92,95729.48,260.32,9404.6,177.10791896698655,2024,5
2023-10-16,Campaign B,Email,30215,8069,1633,36713.96,73654.52,156.88,2276.42,100.6172039191632,2023,10
2023-11-05,Campaign D,PPC,62513,971,1877,47809.65,74415.34,133.21,4400.89,55.649204710764444,2023,11
2023-09-11,Campaign C,Email,52259,1110,459,15892.96,55226.15,328.32,2665.04,247.48813311050935,2023,9
2023-05-30,Campaign C,Email,55702,2233,1528,24304.66,16400.64,218.18,7699.91,-32.52059481597357,2023,5
2023-09-11,Campaign D,Email,9795,6848,1285,12630.96,90054.73,62.63,9936.22,612.9682146091825,2023,9
2023-09-22,Campaign A,PPC,44221,3833,1290,12431.65,89857.33,375.63,8388.7,622.8109703860711,2023,9
2023-12-16,Campaign C,Email,92806,4851,1641,43700.9,34619.21,317.11,4297.96,-20.78147131981264,2023,12
2023-11-19,Campaign A,Organic Search,15071,2978,1115,41545.24,12244.57,306.71,6899.54,-70.52714101543282,2023,11
2024-05-14,Campaign A,Email,73128,990,1469,29513.77,70967.84,75.62,4551.12,140.4567088514954,2024,5
2024-03-24,Campaign D,Social Media,12607,8997,1202,4222.43,16601.52,375.05,4910.86,293.17454641047925,2024,3
2024-02-10,Campaign A,Organic Search,39400,1011,128,46980.51,36284.8,425.08,1120.2,-22.766270523670347,2024,2
2023-10-30,Campaign C,Social Media,98122,3782,1785,29149.91,36308.23,359.04,5015.01,24.55691972976933,2023,10
2023-06-02,Campaign A,Email,63895,752,1868,7845.35,14740.03,164.75,7980.12,87.88237618461892,2023,6
2024-04-27,Campaign C,Organic Search,85013,1700,1688,13868.83,97073.07,25.11,2126.55,599.9369809854185,2024,4
2023-06-26,Campaign D,Organic Search,45393,3740,849,5369.14,50321.23,434.96,9637.12,837.2307296885534,2023,6
2024-05-21,Campaign B,Email,21695,7429,211,41586.77,91578.87,413.08,3933.22,120.21154804761227,2024,5
2023-09-22,Campaign B,Organic Search,29410,4109,419,17058.61,52319.89,362.09,484.21,206.7066425693535,2023,9
2024-05-07,Campaign B,Email,73654,6174,1531,13980.33,26133.7,317.23,4282.61,86.93192506900768,2024,5
2024-03-15,Campaign D,Email,73192,2327,1701,26450.05,78073.35,233.15,4460.23,195.1727879531419,2024,3
2023-12-14,Campaign B,Email,78196,431,1779,16701.31,53356.22,418.82,399.13,219.47326287578642,2023,12
2024-03-23,Campaign C,Email,80483,2539,311,45376.34,72128.08,230.13,3361.77,58.95526170687192,2024,3
2024-04-08,Campaign D,Email,34746,8223,1567,20910.4,96895.74,459.43,1956.48,363.3853967403779,2024,4
2023-10-03,Campaign C,PPC,54364,4347,1214,48873.5,22983.13,90.23,5554.42,-52.97424984910023,2023,10
2024-01-15,Campaign A,PPC,44768,6347,682,7269.63,80449.5,51.23,5469.19,1006.6519203865946,2024,1
2024-01-04,Campaign B,Social Media,66717,9267,1679,25553.95,9596.34,196.03,7285.23,-62.44674502376345,2024,1
2023-09-06,Campaign C,Organic Search,58912,6756,138,20000.97,8125.24,171.65,1048.85,-59.37577027514166,2023,9
2023-09-28,Campaign A,Social Media,66965,1500,1527,49091.82,66503.79,271.01,571.41,35.468169646185444,2023,9
2023-11-19,Campaign B,Organic Search,29038,5102,13,48812.52,77505.57,279.36,7750.62,58.78215261166605,2023,11
2024-03-22,Campaign A,Email,86628,1217,281,2452.47,60053.84,267.64,6841.13,2348.7084449554936,2024,3
2024-04-02,Campaign B,PPC,50987,2553,1004,8525.8,55218.9,331.89,7527.26,547.6682540054893,2024,4
2023-12-10,Campaign B,Email,29012,9975,1142,24924.65,82710.62,492.64,8101.61,231.84265375842784,2023,12
2023-09-15,Campaign A,Organic Search,80669,2828,1518,39775.84,8450.53,23.69,5034.99,-78.75461586732047,2023,9
2024-05-26,Campaign C,Organic Search,50532,9990,627,11634.23,51857.09,52.27,1185.12,345.728595704228,2024,5
2023-07-11,Campaign D,Organic Search,64512,1805,1569,27080.24,68554.41,454.3,7604.25,153.15288933923773,2023,7
2024-04-20,Campaign A,Organic Search,62736,9227,1511,30547.68,35605.34,286.04,3629.6,16.556609208948096,2024,4
2024-05-25,Campaign C,PPC,85678,1698,1215,23405.17,76026.65,411.82,1022.36,224.82844602282316,2024,5
2024-03-25,Campaign A,PPC,3587,7545,1008,19136.16,74842.62,352.38,1889.47,291.1057390824491,2024,3
2023-06-27,Campaign A,PPC,33143,7527,1081,30153.56,15104.82,71.67,935.71,-49.90700932161908,2023,6
2024-04-28,Campaign D,Organic Search,68808,4738,719,34732.99,38148.64,240.86,4598.89,9.834022351660487,2024,4
2024-03-15,Campaign C,Organic Search,63613,6162,334,29727.71,9089.78,471.34,6858.24,-69.42320817849745,2024,3
2023-10-12,Campaign C,PPC,32553,1416,1264,3862.68,66676.48,139.44,2600.38,1626.1714664429878,2023,10
2024-03-10,Campaign A,PPC,67054,8170,779,12069.92,67248.1,209.74,1847.47,457.1544798971328,2024,3
2023-06-19,Campaign C,Social Media,44906,6736,75,4980.45,32416.1,11.02,5661.58,550.8668895380939,2023,6
2024-04-09,Campaign B,Social Media,74378,4650,51,6369.77,39497.71,461.15,8983.21,520.0806308548033,2024,4
2024-05-15,Campaign D,Organic Search,7955,8370,1989,44868.43,76116.57,56.94,9974.85,69.64393449915677,2024,5
2023-06-30,Campaign C,Organic Search,13238,1549,559,31920.92,93584.49,344.19,3865.85,193.17604254513972,2023,6
2023-08-19,Campaign D,Social Media,20479,1380,625,2464.52,21277.01,124.27,3217.02,763.3328193725349,2023,8
2024-04-22,Campaign B,PPC,30507,8155,11,1622.04,34162.98,150.53,4633.52,2006.173707183547,2024,4
2023-10-18,Campaign C,Organic Search,19962,3379,866,7585.29,47314.21,247.38,857.92,523.7627038649807,2023,10
2023-10-12,Campaign C,Organic Search,13685,3739,1140,2300.94,60212.46,131.92,8544.75,2516.863542726016,2023,10
2023-10-28,Campaign C,Email,82500,2830,1461,40482.28,36358.21,495.08,7302.01,-10.18734616726133,2023,10
2023-09-15,Campaign C,Email,98807,3040,563,14852.47,13782.72,251.75,2744.23,-7.202505711171274,2023,9
2023-12-01,Campaign A,Organic Search,64012,7730,1151,2225.54,6164.03,455.17,9880.65,176.96783701933015,2023,12
2023-10-24,Campaign D,PPC,32801,2420,1840,31055.34,45405.26,367.92,5431.53,46.20757653917169,2023,10
2023-10-24,Campaign C,Social Media,17308,2546,1445,49179.48,28970.88,493.43,3621.79,-41.09152841794993,2023,10
2023-09-16,Campaign A,Email,69483,1113,241,26082.29,11209.68,75.04,6662.73,-57.02187192919027,2023,9
2023-11-10,Campaign D,PPC,79930,4200,613,4893.31,73565.5,346.13,2309.2,1403.3893213387257,2023,11
2023-09-25,Campaign A,PPC,29369,8252,872,3561.77,48578.34,109.66,4227.46,1263.8820024875272,2023,9
2023-12-12,Campaign B,Organic Search,61961,3733,153,44856.45,23240.3,394.59,2788.64,-48.18961375677299,2023,12
2024-05-09,Campaign B,Social Media,49458,155,1014,2975.09,79829.24,202.49,9389.79,2583.2546242298554,2024,5
2023-10-28,Campaign C,Social Media,72857,8139,1618,18757.35,20968.27,90.82,9124.56,11.786952847817,2023,10
2024-04-15,Campaign D,Email,82929,3002,1304,44859.63,26587.0,309.67,8135.95,-40.732903949497576,2024,4
2023-09-24,Campaign D,Social Media,17335,3504,1266,21551.0,81912.7,490.7,7561.38,280.0876989466846,2023,9
2023-12-21,Campaign C,Organic Search,90053,103,1961,38007.5,11212.93,310.7,491.69,-70.49811221469446,2023,12
2023-10-06,Campaign B,Social Media,37464,5851,78,27834.41,6017.25,104.65,3236.3,-78.38197396675554,2023,10
2024-04-15,Campaign D,Organic Search,51854,6220,1411,15912.8,37143.61,350.94,5362.91,133.41969986426022,2024,4
2023-07-10,Campaign D,Social Media,32042,1220,394,37807.67,23545.14,60.72,3429.92,-37.72390628674023,2023,7
2023-09-12,Campaign C,Social Media,6553,8796,877,25536.48,86278.52,73.72,9699.96,237.86379328709364,2023,9
2024-04-12,Campaign D,Email,15135,6568,1429,37540.39,29952.53,238.53,7526.14,-20.21252309845476,2024,4
2023-07-31,Campaign A,PPC,45210,940,1228,12618.25,57983.89,26.65,7131.62,359.52402274483387,2023,7
2023-06-17,Campaign A,Organic Search,29080,7158,894,25932.77,17249.67,304.69,5928.42,-33.48311807801481,2023,6
2023-12-03,Campaign D,Organic Search,3540,9167,448,17939.03,56522.68,204.34,1054.46,215.08214212251167,2023,12
2024-01-21,Campaign B,Organic Search,51511,1523,1318,17520.11,19825.16,136.18,5445.96,13.156595477996424,2024,1
2024-04-09,Campaign C,Social Media,85196,7016,947,10742.32,56986.77,375.65,7369.59,430.4884792111946,2024,4
2023-08-15,Campaign A,Social Media,66294,7615,1490,33097.37,13438.97,243.55,6369.61,-59.39565590861147,2023,8
2024-03-02,Campaign B,Social Media,31839,9544,1285,47124.91,14976.26,260.28,7460.09,-68.22007723728278,2024,3
2024-05-20,Campaign C,Email,77339,3785,453,34576.62,26060.37,85.65,1916.61,-24.630082408286302,2024,5
2023-12-11,Campaign D,PPC,90145,6124,497,42693.84,94594.23,143.78,2975.6,121.56411791490297,2023,12
2023-06-22,Campaign C,Social Media,62998,1262,14,14515.5,62486.69,254.28,2843.87,330.4825186869209,2023,6
2023-09-05,Campaign A,Social Media,31456,1138,1452,2180.27,70540.35,312.16,5633.2,3135.3951574804955,2023,9
2024-02-16,Campaign C,Email,99582,8124,277,8128.95,53644.4,227.93,1099.1,559.9179475824061,2024,2
2023-12-20,Campaign D,Email,50707,6975,542,4538.78,28425.52,220.89,4505.46,526.2810711248397,2023,12
2024-01-31,Campaign C,Social Media,2725,9463,1970,2124.17,45630.25,357.88,5894.58,2048.1449224873713,2024,1
2023-07-02,Campaign A,PPC,49937,3084,1983,11447.13,70375.51,132.33,9762.51,514.7873746519871,2023,7
2024-01-20,Campaign B,Social Media,33667,1437,999,42755.35,90703.54,5.29,3868.31,112.14547419211864,2024,1
2024-04-23,Campaign C,PPC,87021,4563,325,7712.0,52018.09,138.13,9901.07,574.5084284232365,2024,4
2023-09-29,Campaign A,Social Media,24662,8084,1929,49666.8,69656.78,490.68,7613.8,40.24817383040581,2023,9
2023-09-21,Campaign D,PPC,24467,6235,986,22441.01,24852.76,31.13,5365.67,10.747065305884183,2023,9
2023-08-19,Campaign B,Organic Search,45294,3634,658,26877.1,46656.2,323.53,7825.79,73.59090080403018,2023,8
2023-09-29,Campaign B,PPC,69860,5101,108,33781.51,18879.33,117.4,3121.27,-44.11342180974148,2023,9
2023-07-31,Campaign B,Organic Search,38681,5139,43,26038.55,58887.83,380.13,3106.88,126.15633359000404,2023,7
2023-12-13,Campaign C,PPC,43422,525,17,47782.16,85362.3,246.12,1628.55,78.64889322709563,2023,12
2024-04-30,Campaign B,Social Media,21622,4175,1033,17598.82,5657.48,53.63,4843.13,-67.85307196732508,2024,4
2024-03-31,Campaign A,Social Media,98524,6827,1134,1606.71,66277.0,55.88,9401.11,4025.0132257843666,2024,3
