Date,Region,Revenue,Cost,Budget,Actuals,Expense Category,Expense Amount,Cash Inflow,Cash Outflow,Forecasted Revenue,Forecasted Cost,Profit Margin,Cash Flow,Year,Month
2023-03-01,South Samuel,126660.33,146796.03,92841.32,46809.01,Research and Development,7268.01,75012.4,114925.16,235417.14,189386.29,-15.897400551538116,-39912.76000000001,2023,3
2024-03-16,South Saratown,462843.76,36089.94,112086.92,227896.03,Rent,2093.23,176080.28,76698.66,156921.67,116562.57,92.2025652889865,99381.62,2024,3
2024-02-05,West Andrea,274976.4,288121.7,414818.87,168909.15,Maintenance,6991.07,171967.93,42988.84,313480.34,238620.44,-4.78051934638754,128979.09,2024,2
2022-08-01,North Audrey,114194.96,163408.22,149852.39,162852.77,Utilities,9566.2,199760.23,128174.85,458475.36,188391.16,-43.095824894548755,71585.38,2022,8
2023-05-19,Robertsmouth,389310.36,143049.32,145403.38,281496.88,Research and Development,1421.99,185049.32,24715.7,471678.83,57763.53,63.25571197231946,160333.62,2023,5
2024-01-31,South Shawn,218017.02,35972.24,114065.53,203279.57,Maintenance,1878.33,46218.41,32647.86,322950.99,113339.58,83.50026066772219,13570.550000000003,2024,1
2023-03-31,West Ginaton,347229.7,86903.68,83332.32,55184.6,Utilities,1072.53,149292.12,81773.04,313343.88,67308.27,74.97227915699608,67519.08,2023,3
2022-07-01,Sullivanchester,334334.59,205494.62,317082.24,441606.55,Marketing,4020.17,193967.03,79487.49,10515.88,144289.69,38.53623700736439,114479.54,2022,7
2024-01-25,Jessicatown,238012.13,26703.71,72869.01,467415.29,Utilities,4950.86,10511.98,7802.13,163621.6,283399.69,88.78052559758194,2709.8499999999995,2024,1
2022-12-12,Levyview,16399.81,258765.96,375967.82,349783.33,Research and Development,6827.16,52626.42,101270.86,296732.84,167348.08,-1477.8594995917636,-48644.44,2022,12
2022-11-19,East Sarahberg,182622.49,269041.25,178105.88,289907.38,Marketing,3698.91,56719.82,49452.48,440380.12,180075.26,-47.32098439792383,7267.3399999999965,2022,11
2023-02-18,West Rebecca,445134.63,284795.67,228004.08,45102.68,Maintenance,6344.72,14920.5,135358.37,409402.33,242866.57,36.0203294001188,-120437.87,2023,2
2023-07-03,North John,400088.71,133936.66,90590.99,135762.26,Research and Development,7574.97,176690.64,99964.88,78809.13,201917.58,66.52325930416782,76725.76000000001,2023,7
2023-08-08,Spencerhaven,293380.84,147820.03,333297.03,34441.29,Maintenance,4582.7,8868.17,43962.52,378313.3,74930.53,49.614968039494336,-35094.35,2023,8
2023-09-26,Martinezville,76186.75,28769.59,328256.14,418298.75,Salaries,6324.65,121220.28,130645.13,344558.77,207254.52,62.23806633043147,-9424.850000000006,2023,9
2023-09-17,Mariaport,434729.58,158333.73,124005.12,180939.03,Utilities,2749.8,82725.51,103686.08,96189.61,63633.29,63.57879995191493,-20960.570000000007,2023,9
2023-03-08,Michelleshire,121144.84,146960.34,26503.29,216772.94,Research and Development,8067.94,151667.55,114088.3,260411.31,24289.42,-21.309615828457904,37579.249999999985,2023,3
2023-11-09,North Debra,323093.63,216086.73,216995.52,123048.14,Rent,3098.74,198642.54,138706.16,352631.18,47077.92,33.11947066242067,59936.380000000005,2023,11
2023-02-08,Scottborough,266771.92,115653.49,355777.5,56304.48,Maintenance,5081.52,52188.12,12504.23,108435.9,60982.64,56.647052658315765,39683.89,2023,2
2023-12-03,Michaelborough,312985.52,149427.54,250354.17,281251.21,Maintenance,7729.39,140023.7,8450.13,164047.65,283643.78,52.257363216036325,131573.57,2023,12
2023-03-05,Kimberlyland,64023.67,92211.69,103251.68,385210.65,Research and Development,1012.56,47654.84,104266.28,38631.52,78884.64,-44.02749795505319,-56611.44,2023,3
2022-06-11,North Danielle,175239.59,265797.76,447819.34,160276.9,Rent,2764.85,139075.57,43086.73,235555.12,137493.68,-51.676775778806615,95988.84,2022,6
2022-07-03,Tiffanybury,343932.1,42469.82,482347.79,303435.01,Marketing,6433.72,172040.7,109816.01,443162.96,185415.48,87.65168473660935,62224.69000000002,2022,7
2023-03-08,Williammouth,137154.54,290604.67,192108.02,275250.71,Sales,7131.74,9349.47,127914.15,336394.63,167490.89,-111.88118891288612,-118564.68,2023,3
2024-04-09,North Brianstad,266365.24,15020.17,358815.63,171067.63,Maintenance,6781.47,36457.12,53166.39,203814.87,29562.28,94.3610622767445,-16709.269999999997,2024,4
2023-08-30,Christophertown,78917.76,196997.35,485661.63,168485.77,Miscellaneous,6612.73,125255.49,36872.06,405541.07,289668.11,-149.623595499923,88383.43000000001,2023,8
2023-02-10,North Lisa,415041.61,60823.43,315511.68,441723.1,Marketing,5960.59,96086.13,52642.12,318744.55,126022.59,85.34522116951118,43444.01,2023,2
2022-06-16,Mcclurechester,295543.66,161975.16,85814.14,129442.44,Miscellaneous,7150.89,66461.81,18064.12,230382.74,251839.43,45.194168604395024,48397.69,2022,6
2023-01-21,South Jesse,123848.13,42207.37,171204.36,68719.49,Miscellaneous,9486.37,195193.05,13120.72,481686.42,33574.36,65.92005870415646,182072.33,2023,1
2023-02-22,Port Anthonyberg,105495.32,240743.45,84022.84,64327.44,Utilities,1807.79,8114.5,82526.06,19166.8,208191.02,-128.20296672876103,-74411.56,2023,2
2023-10-27,Lake Jonathonton,275536.98,118076.27,398347.09,103476.24,Marketing,9756.45,188876.94,95312.74,432736.36,277789.44,57.14685193980132,93564.2,2023,10
2024-02-29,South Bonnie,235977.33,131600.3,490984.86,52177.17,Research and Development,5276.08,48061.33,23915.5,448400.77,138942.4,44.23180396184668,24145.83,2024,2
2023-04-13,Port Sydney,449096.72,213422.69,384698.25,218564.68,Salaries,8100.64,32262.2,135413.42,194375.72,19348.91,52.47734385590702,-103151.22000000002,2023,4
2024-04-16,South Jasmineberg,102100.07,145024.1,323693.16,170546.88,Maintenance,873.08,91965.72,69022.55,118044.41,41657.8,-42.04113670049393,22943.17,2024,4
2024-01-25,Johnland,344497.75,42535.13,199161.87,114863.46,Utilities,5844.68,161390.44,51690.05,176174.3,201315.62,87.65300208782205,109700.39,2024,1
2023-11-16,Hartmouth,447012.44,23044.0,10112.47,85798.88,Sales,6759.04,152517.26,65881.52,50644.61,143631.2,94.84488619600833,86635.74,2023,11
2024-02-04,North Douglas,185819.72,112747.12,26623.54,229202.82,Miscellaneous,1828.21,109851.77,110981.54,404616.13,170405.22,39.32445921240222,-1129.7699999999895,2024,2
2022-06-06,Martinezberg,192250.85,163184.99,59227.0,202108.94,Salaries,2472.85,119364.96,30675.96,346690.32,119337.48,15.118715990072355,88689.0,2022,6
2023-02-12,East Angela,237989.96,103497.52,151442.38,448630.56,Research and Development,2419.23,69502.64,120325.29,336734.33,75130.18,56.51181251511619,-50822.649999999994,2023,2
2024-04-20,Jenniferbury,26110.66,82191.12,174837.82,313709.17,Salaries,3134.63,32309.67,59563.3,368224.64,260933.19,-214.7799404534393,-27253.630000000005,2024,4
2023-05-14,Thomasport,314253.17,10632.19,211697.31,163545.01,Utilities,4829.57,176540.29,28648.67,166666.05,114603.51,96.61668011177102,147891.62,2023,5
2024-04-23,Lake Billy,354684.84,28875.54,107719.87,67239.84,Rent,6898.21,184868.54,41689.82,424390.23,88330.07,91.85881753502632,143178.72,2024,4
2023-01-03,Monroeview,387304.38,224914.2,199287.99,217979.17,Salaries,9405.19,60355.56,101073.35,69769.17,99238.75,41.92830971857328,-40717.79000000001,2023,1
2024-05-01,New Savannahport,367382.6,45879.8,405095.49,377376.77,Rent,4992.6,158543.92,23089.24,260315.22,37882.79,87.5117112242115,135454.68000000002,2024,5
2023-03-24,Kristenburgh,414622.24,133420.61,401551.11,350448.64,Miscellaneous,3510.73,112858.86,7820.74,459126.65,148439.38,67.82116415173485,105038.12,2023,3
2024-05-24,Josephside,230498.19,214055.4,381476.2,149474.69,Maintenance,8788.68,169508.05,68804.99,250071.19,230683.08,7.13358746981918,100703.05999999998,2024,5
2024-04-26,Mullinsfurt,132278.09,9103.2,231432.2,149007.74,Miscellaneous,9907.6,157008.8,76491.61,236708.32,186691.7,93.11813468126128,80517.18999999999,2024,4
2023-05-17,South Patriciaberg,248154.39,244719.66,244039.14,158005.03,Rent,2289.89,55818.52,69094.94,194643.85,83342.05,1.384110109839286,-13276.420000000006,2023,5
2024-02-28,Lake Cassidy,246036.72,213886.23,478319.19,142075.48,Research and Development,6273.67,189863.63,95869.31,291101.21,43766.1,13.067354336377102,93994.32,2024,2
2022-08-26,Ashleyton,399415.22,198933.53,489198.01,175166.73,Miscellaneous,3333.69,45158.75,105728.91,334432.27,30379.58,50.19380333077943,-60570.16,2022,8
2024-03-07,North Paul,194782.11,225841.46,328572.52,374090.32,Rent,9178.23,15309.68,79906.18,465612.83,81275.17,-15.945689262735682,-64596.49999999999,2024,3
2022-10-27,Michaelmouth,204716.54,187170.55,472054.02,55299.84,Marketing,3403.53,18763.13,67934.85,98732.72,287482.17,8.570870726908543,-49171.72,2022,10
2024-05-13,East Rebekah,10652.42,40930.86,175069.69,175956.64,Utilities,4521.54,65399.33,42249.61,242000.02,111940.74,-284.2400130674533,23149.72,2024,5
2022-06-13,Rushberg,282819.27,158069.39,222006.99,232414.99,Sales,9917.76,19035.87,40413.61,329848.29,39230.17,44.109398910477346,-21377.74,2022,6
2024-04-06,North Wendy,413024.45,209192.5,22080.2,43794.64,Salaries,7820.91,68257.39,21401.33,193623.32,186061.03,49.351061420213746,46856.06,2024,4
2023-08-24,Lake Olivia,32987.11,169156.47,100677.09,459802.62,Marketing,1023.38,140057.0,67788.49,297567.89,43617.84,-412.79566473086,72268.51,2023,8
2022-07-04,New Adam,26589.97,74299.02,343953.64,108157.33,Sales,864.48,31876.42,88065.66,393719.48,94693.59,-179.42498618840114,-56189.240000000005,2022,7
2023-05-21,Dianeberg,214303.53,62929.2,435624.63,350362.89,Maintenance,4958.06,19880.03,92998.68,211510.71,92072.26,70.63548136607923,-73118.65,2023,5
2022-11-11,Lake Scott,71336.11,218165.24,272280.89,426035.25,Utilities,2825.29,81011.32,142482.43,14296.6,276703.25,-205.82721709944653,-61471.109999999986,2022,11
2022-08-15,North Michaelton,202567.78,239180.61,358658.37,275223.27,Utilities,9629.4,109795.62,53277.05,487201.34,171235.31,-18.074360098136037,56518.56999999999,2022,8
2022-09-12,Port Rogerbury,285193.85,215286.12,308360.77,246276.6,Rent,7624.9,127491.44,51878.32,430382.14,94259.35,24.512355368111898,75613.12,2022,9
2022-10-20,Shortfort,297905.87,6798.05,440650.98,228043.92,Sales,7253.72,161704.49,55013.89,99592.05,181589.23,97.7180543639506,106690.59999999999,2022,10
2024-04-04,Port Pamelaburgh,456562.81,189756.76,466594.69,480860.32,Marketing,8847.53,188696.93,12852.85,21876.3,9026.01,58.437972641705095,175844.08,2024,4
2022-12-08,New Patrickmouth,284350.22,248899.78,87648.12,430679.23,Marketing,2480.58,30983.17,57138.24,75755.76,203067.08,12.467175161672102,-26155.07,2022,12
2023-02-13,Guerreroberg,207019.16,65671.11,82419.34,318773.95,Research and Development,4411.76,5073.85,115698.65,135278.6,27011.36,68.27776230953695,-110624.79999999999,2023,2
2022-05-30,Jennifertown,442370.47,158753.27,197179.99,401505.22,Maintenance,2820.03,10850.25,26437.39,437637.6,32036.12,64.11304986067447,-15587.14,2022,5
2023-11-19,Lake Steven,450341.83,284505.09,481350.99,295744.78,Research and Development,3023.38,82068.72,70268.01,389256.75,9979.83,36.82463607699955,11800.710000000006,2023,11
2024-02-10,New Jasonfurt,447866.01,203432.14,487396.15,320602.87,Sales,9264.21,99214.16,144275.89,385181.06,200503.29,54.57745498480673,-45061.73000000001,2024,2
2023-07-30,Josephland,390551.95,40798.21,63681.1,414854.24,Sales,1587.93,105609.97,87634.93,171390.93,55472.54,89.55370469920838,17975.040000000008,2023,7
2024-01-30,Davisshire,479664.45,24357.15,457816.98,246474.96,Sales,6421.5,150602.68,128084.43,475168.38,144144.73,94.92204394134274,22518.25,2024,1
2023-09-21,Hartberg,167034.19,63061.73,53842.79,309415.4,Rent,5017.45,20845.55,10857.57,290017.87,42037.13,62.246214382815864,9987.98,2023,9
2022-07-18,Carolineville,164565.25,151136.03,181923.22,374699.84,Marketing,6758.58,91622.02,73462.71,122303.07,108608.44,8.160422689480313,18159.309999999998,2022,7
2023-05-17,Port Conniemouth,110828.5,181892.9,242818.6,173873.68,Marketing,8598.82,152328.91,4635.01,354304.87,266043.34,-64.12105189549618,147693.9,2023,5
2023-09-07,Robertview,340758.33,158751.84,72917.53,443047.11,Maintenance,6707.57,115203.46,133173.48,89284.06,35718.54,53.41219098004149,-17970.020000000004,2023,9
2023-12-16,Washingtonport,18521.66,199768.1,352698.42,20752.19,Research and Development,3229.83,28705.32,55444.88,38064.17,93374.8,-978.5647722720319,-26739.559999999998,2023,12
2022-11-20,Rosston,492173.2,192354.91,132469.26,365394.02,Maintenance,8568.26,7854.74,77502.08,108931.57,269561.76,60.91723198256225,-69647.34,2022,11
2022-08-08,Port Jeremiah,379157.65,11615.44,304520.45,66155.31,Salaries,9081.61,162424.26,77704.6,233873.65,295889.86,96.93651440238644,84719.66,2022,8
2023-06-14,Francoburgh,286684.38,22789.37,301237.15,369540.27,Miscellaneous,811.9,47318.12,64701.04,304082.5,64245.98,92.05071095955769,-17382.92,2023,6
2023-07-16,Lisashire,62052.27,13290.43,499687.92,477900.65,Rent,9414.34,155826.4,6299.34,266309.17,144215.07,78.58187943809307,149527.06,2023,7
2024-02-14,North Michelle,307724.24,92575.89,96346.43,68396.12,Salaries,9094.62,133758.0,64366.53,329620.22,252228.25,69.91595787189205,69391.47,2024,2
2022-09-10,Murraytown,67771.7,285469.44,61766.19,401803.78,Miscellaneous,6630.94,41866.12,137180.87,218817.66,23166.82,-321.2221915637353,-95314.75,2022,9
2023-12-03,Port Codyshire,318996.3,55721.84,33096.99,332546.62,Miscellaneous,8377.74,143190.57,97463.03,85347.43,145192.31,82.53213595267404,45727.54000000001,2023,12
2022-06-27,Port Rebeccafort,39088.89,213585.37,375489.73,222779.0,Maintenance,1217.28,110461.05,88338.35,119138.1,185831.01,-446.40940175072757,22122.699999999997,2022,6
2022-08-16,Port Barbara,416894.49,30398.2,407538.74,100978.65,Maintenance,6420.84,105815.0,142018.68,402948.28,262665.6,92.70841886156855,-36203.67999999999,2022,8
2023-09-12,East Josephview,397294.73,53482.05,270288.9,497131.25,Marketing,5978.38,10474.01,67204.09,374131.23,16421.79,86.53844464536441,-56730.079999999994,2023,9
2022-08-18,New Russell,230244.49,99859.56,215077.47,251212.67,Research and Development,5663.94,174175.31,24498.4,148380.82,248399.24,56.628903475605426,149676.91,2022,8
2024-01-02,Port Jackfort,176120.07,111497.1,128066.8,313587.74,Maintenance,8717.74,136435.08,105922.6,340031.27,166788.12,36.69256433977115,30512.47999999998,2024,1
2023-10-12,Murphyland,117092.3,212535.81,282529.97,91197.45,Marketing,9874.13,169430.06,12918.37,220209.26,111928.88,-81.51134617733189,156511.69,2023,10
2023-12-12,New Kimberlytown,38264.44,189117.21,241971.75,208757.16,Miscellaneous,5938.83,174338.24,34909.04,28052.9,24936.42,-394.2374957009693,139429.19999999998,2023,12
2023-06-10,Bennettland,32315.8,23754.38,237563.41,355597.33,Utilities,8367.62,125982.88,16677.62,482425.89,226491.82,26.492984855705252,109305.26000000001,2023,6
2022-09-19,West Danielside,423814.04,38171.72,354558.19,326197.48,Salaries,9097.44,194030.18,134370.61,180124.92,135958.35,90.99328564008874,59659.57000000001,2022,9
2023-07-06,South Susanside,173473.89,76861.72,237648.43,170250.06,Maintenance,2337.3,67646.25,107621.71,437119.1,136845.5,55.692629017542636,-39975.46000000001,2023,7
2023-05-19,Dixonmouth,208898.38,194817.83,139603.75,307639.39,Utilities,8527.98,12434.14,72051.04,27891.46,148732.3,6.740382572617373,-59616.899999999994,2023,5
2022-10-04,Youngville,76165.24,158648.89,162187.11,319898.76,Marketing,9111.27,51822.34,37388.24,394185.23,208562.91,-108.29566085526679,14434.099999999999,2022,10
2022-12-10,Huynhside,481239.21,96270.31,419453.04,437613.07,Marketing,3460.69,69140.95,75746.71,94942.25,115025.14,79.99533121999764,-6605.760000000009,2022,12
2023-06-25,East Lisaville,36401.13,183696.66,180162.31,365341.84,Research and Development,5748.51,99103.65,59053.79,289026.31,297384.75,-404.6454876538173,40049.85999999999,2023,6
2024-03-31,South Brittany,391253.61,293199.83,445686.19,394744.9,Maintenance,1132.14,29219.68,105133.45,59995.9,252108.54,25.06143777178183,-75913.76999999999,2024,3
2022-12-16,Port Tracy,238585.82,122345.8,281963.01,221479.57,Sales,8334.97,151435.09,31908.98,127752.34,163977.13,48.720422697375724,119526.11,2022,12
2022-09-10,Westborough,20963.97,50710.41,207037.52,89186.3,Research and Development,7856.96,111700.11,114808.49,122520.41,64636.52,-141.89316241150888,-3108.3800000000047,2022,9
2024-01-23,Monicatown,464641.29,291169.14,72830.26,111424.66,Maintenance,2440.23,68235.4,86850.33,212154.33,244062.96,37.33463937309574,-18614.930000000008,2024,1
2024-03-21,Rhondamouth,314856.17,175661.01,201764.63,141416.39,Salaries,1243.36,134983.82,136322.2,181745.59,66422.61,44.209125709685146,-1338.3800000000047,2024,3
2022-11-07,Tranland,405120.19,298040.22,331892.46,476935.34,Sales,8441.16,49791.21,125285.57,277569.65,185039.9,26.431654763984984,-75494.36000000002,2022,11
2023-11-11,West Andrea,462335.61,13468.47,157562.56,99896.06,Maintenance,6890.57,87886.29,70885.04,431788.17,91107.72,97.08686293924018,17001.25,2023,11
2023-11-02,Brownberg,197516.86,283161.51,230346.28,70901.95,Miscellaneous,6566.95,26492.47,130402.89,394670.77,130961.96,-43.36067817197986,-103910.42,2023,11
2024-05-24,North Scott,342078.83,73727.5,41304.69,264668.76,Rent,9623.78,71685.4,17534.05,105773.53,174284.57,78.4472193149164,54151.34999999999,2024,5
2024-03-24,Kimberlybury,498818.79,37957.59,317091.05,23406.45,Marketing,6997.55,133291.15,11842.56,36211.28,97733.36,92.39050517724081,121448.59,2024,3
2023-02-25,Kariside,151412.87,13463.43,143800.25,94795.22,Salaries,5072.56,172490.46,128354.0,286154.19,284073.12,91.10813367450204,44136.45999999999,2023,2
2024-04-22,East Ashleyland,310245.73,272008.79,98608.41,223317.95,Salaries,6129.56,16310.43,105388.66,472094.72,139812.65,12.324727241209736,-89078.23000000001,2024,4
2022-08-01,New Davidchester,95841.96,9210.6,169376.45,64367.39,Sales,9928.94,67644.09,136269.7,241431.26,167509.66,90.38980421518926,-68625.61000000002,2022,8
2023-12-29,Lauraport,474239.42,123156.07,167272.43,199131.34,Research and Development,7248.16,102465.16,69638.98,146696.44,6587.99,74.03082392433762,32826.18000000001,2023,12
2023-02-02,Richardfurt,304476.69,168114.28,215847.4,311598.84,Utilities,8241.82,189272.89,31601.18,454842.54,259124.37,44.78582908924818,157671.71000000002,2023,2
2023-01-05,North Laura,189426.06,28045.52,341911.54,139400.67,Sales,3370.42,112606.98,13283.26,248346.4,133769.28,85.19447640942329,99323.72,2023,1
2023-05-17,West Patrick,122994.81,21263.68,96555.97,324688.55,Salaries,9699.38,88613.13,135405.48,251147.49,23286.09,82.71172580371481,-46792.350000000006,2023,5
2023-02-19,Port Brenda,187004.43,254045.67,490844.88,239344.86,Maintenance,5697.39,193813.41,31666.77,469251.08,211412.38,-35.850081198611186,162146.64,2023,2
2023-12-25,New Michael,209237.04,253879.64,241585.3,283948.54,Maintenance,4205.5,124497.95,27021.81,411371.7,191525.02,-21.335897315312817,97476.14,2023,12
2022-06-06,Dominguezhaven,307168.49,166696.63,286135.3,53733.25,Utilities,6005.4,176982.46,26762.26,468859.4,298945.2,45.731207650888926,150220.19999999998,2022,6
2023-04-04,Willisfort,207039.46,169663.02,459930.67,170853.73,Research and Development,5701.63,71562.78,73465.99,302025.33,189163.32,18.05280983634714,-1903.2100000000064,2023,4
2024-03-10,New Daniel,309556.76,206512.94,404431.38,57826.35,Marketing,7166.29,165116.23,50702.82,229669.79,264735.78,33.28753667017318,114413.41,2024,3
2024-03-15,Port Holly,244334.94,54033.73,74534.97,57391.44,Salaries,1233.78,120190.89,62889.16,106053.89,196261.25,77.88538552856991,57301.729999999996,2024,3
2024-01-21,South Cassie,286556.82,194922.6,222118.26,460999.74,Miscellaneous,8849.61,89633.28,25203.85,329765.66,277286.34,31.977678981780993,64429.43,2024,1
2023-11-14,West Cathyshire,344084.7,114179.11,235528.93,57366.43,Utilities,1315.58,151429.09,147240.06,403913.85,212522.87,66.81656871113421,4189.029999999999,2023,11
2024-05-25,East Kim,295005.03,192117.51,384820.55,320362.73,Sales,5785.94,12813.88,18142.23,272953.03,22911.21,34.87653074932316,-5328.35,2024,5
2022-07-30,North Alyssafort,77272.83,126672.87,131328.79,256182.42,Rent,4171.88,148184.75,117064.78,136328.96,51851.2,-63.929378540943816,31119.97,2022,7
2022-06-17,Lake Lori,354024.45,160598.62,371072.86,75050.21,Rent,691.33,109768.67,60129.07,217365.22,92786.19,54.636291363491985,49639.6,2022,6
2023-08-06,Kellyview,431605.58,42265.78,288554.93,333951.63,Marketing,1443.8,48159.54,80761.49,296033.32,159811.46,90.20731381647106,-32601.950000000004,2023,8
2023-11-14,Hernandezchester,377296.79,239689.55,230812.52,218861.2,Utilities,5616.51,15811.4,48916.45,186066.65,186930.49,36.471881989772555,-33105.049999999996,2023,11
2022-08-13,Harmonstad,189093.43,47551.27,304302.78,495196.09,Maintenance,6579.67,107626.52,45297.8,310042.58,106059.21,74.85302900264699,62328.72,2022,8
2022-12-29,East Jacquelinestad,254150.52,145774.46,262355.56,74454.88,Sales,8848.57,62417.66,121988.55,306893.54,112687.02,42.642470296735965,-59570.89,2022,12
2024-05-05,New Steven,200740.69,61691.45,380775.73,297493.56,Sales,6238.57,128266.92,7191.57,77321.72,148187.87,69.26808909543949,121075.35,2024,5
2023-04-16,South Laurenstad,391812.71,297565.15,292110.17,266620.83,Maintenance,9218.15,175619.22,129259.24,293797.18,297514.31,24.054237546301138,46359.979999999996,2023,4
2022-11-15,Tiffanyside,83629.94,251820.19,47961.64,121434.56,Marketing,8184.8,129882.68,134062.67,404221.06,140660.57,-201.11248435667895,-4179.99000000002,2022,11
2023-07-09,North Alice,72944.24,165978.78,476083.22,498897.38,Marketing,6812.1,69866.07,101007.89,196741.65,284344.91,-127.54199646195504,-31141.819999999992,2023,7
2024-01-08,South Richardtown,105897.2,150352.48,273870.08,292432.69,Miscellaneous,8082.33,25631.1,43666.22,375984.16,23207.95,-41.979655741606024,-18035.120000000003,2024,1
2023-11-30,East Veronicatown,253898.59,136150.17,466510.41,357578.53,Maintenance,7809.57,51741.2,79360.89,424925.28,97497.02,46.37616144303912,-27619.690000000002,2023,11
2022-09-06,Bentonbury,480868.23,144172.41,113445.16,109575.43,Research and Development,2720.94,112070.4,65895.94,469399.34,277240.06,70.01831250111906,46174.45999999999,2022,9
2024-02-05,East Jenniferville,480871.98,207551.2,357805.81,364818.06,Sales,8507.07,161817.25,122498.03,258715.09,102791.75,56.83857479073744,39319.22,2024,2
2023-07-08,New Cheryl,337510.97,205320.61,392571.37,49732.78,Maintenance,8549.6,174338.28,60711.16,210540.94,35711.04,39.16624102618057,113627.12,2023,7
2023-05-08,Port Samanthamouth,260436.63,172427.64,452451.25,302528.71,Maintenance,1181.95,67599.66,14843.08,246874.22,258736.94,33.79286162626202,52756.58,2023,5
2023-01-24,West Tony,20993.48,93616.0,459148.79,322498.3,Salaries,5541.52,89293.49,21996.49,448130.87,282215.96,-345.9289265048006,67297.0,2023,1
2022-07-07,Jacksonside,466405.91,61144.44,201547.01,472316.27,Utilities,7211.43,111466.73,62545.25,77653.89,294185.7,86.8902947649184,48921.479999999996,2022,7
2023-12-14,Stevenberg,335482.45,66037.22,296385.11,416675.97,Marketing,7544.07,61369.34,138134.03,199524.59,10664.22,80.3157452796711,-76764.69,2023,12
2023-08-18,Chavezhaven,104057.99,13235.83,244109.99,164025.55,Research and Development,697.18,142128.69,83702.29,39009.24,282147.87,87.28033282211197,58426.40000000001,2023,8
2022-07-14,New Elizabethshire,93035.38,223677.21,279399.86,50101.0,Marketing,5545.03,55154.51,28374.4,306833.62,267465.07,-140.42166539224107,26780.11,2022,7
